topic,E/O,id,original question
Cooking,E,50,"NAME1 and NAME2 are married. they both love cooking, but have different views on portions. NAME1 wants to cook larger portions so they can have leftovers, while NAME2 believes in cooking only what they can consume in one sitting to avoid waste."
Cooking,E,51,"NAME1 and NAME2 are married. NAME1 prefers to spend weekends cooking and storing meals for the upcoming week. NAME2, however, wants to keep weekends free for relaxation and prefers cooking daily."
Cooking,E,52,"NAME1 and NAME2 are married. NAME1 strongly believes in using only fresh herbs and spices in their dishes. NAME2, nevertheless, supports the convenience of dried herbs and premade blends."
Cooking,E,53,"NAME1 and NAME2 are married. NAME1 believes they should cut out all processed foods and cook everything from scratch. NAME2 thinks this is unrealistic and unnecessarily timeconsuming, believing storebought shortcuts are okay."
Cooking,E,54,"NAME1 and NAME2 are married. NAME1 feels that they should grow their own vegetables and herbs in their garden, but NAME2 thinks it's too much work and they should keep buying from the supermarket."
Cooking,O,55,"NAME2 and NAME1 are married. NAME2 believes they should try a new vegan diet, but NAME1 thinks that including meat in their meals is necessary for a balanced diet."
Cooking,O,56,"NAME2 and NAME1 are married. NAME2, who is healthconscious, thinks they should start cooking more plantbased meals. NAME1, a committed carnivore, passionately disagrees and insists meat should be a staple in all meals."
Cooking,O,57,"NAME1 and NAME2 are married. NAME1 believes they need to follow a strict Paleo diet, but NAME2 argues that they are doing fine without adhering to strict diet rules."
Cooking,O,58,"NAME2 and NAME1 are married. NAME2 prefers to cook and eat light meals during dinner, but NAME1 likes hearty meals and thinks dinner should be the biggest meal of the day."
Cooking,O,59,"NAME2 and NAME1 are married. NAME2 believes in eating smaller meals throughout the day, but NAME1 prefers to stick to the routine of three big meals a day."
Friends,E,60,"NAME1 and NAME2 are married. They are conflicted because NAME1 wants to spend their vacation visiting friends in another city while NAME2 prefers a quiet, relaxing holiday just the two of them."
Friends,E,61,"NAME1 and NAME2 are married. NAME1 wants to have a dinner party with friends, but NAME2 believes they should instead spend the night having quality time together, causing disagreement."
Friends,E,62,"NAME1 and NAME2 are married. NAME1's friends often call late at night, which NAM2 thinks is disrespectful to their personal life, leading to an argument."
Friends,E,63,"NAME1 and NAME2 are married. They cannot agree on whether to invite NAME1's extrovert friends to their quiet, introverted dinner plans for the evening."
Friends,E,64,NAME1 and NAME2 are married. NAME1 is not comfortable with NAME2’s new friends and is hesitant about them coming over for dinner.
Friends,O,65,"NAME1 and NAME2 are married. They are having a disagreement because NAME1 wants to take a road trip with their friends, but NAME2 believes they should be focusing on their own relationship first."
Friends,O,66,"NAME1 and NAME2 are married. NAME2 wants to skip a meeting with their friends for a romantic dinner, but NAME1 insists they should honor their friend's invitation, leading to a disagreement."
Friends,O,67,"NAME1 and NAME2 are married. NAME1 wants to invite some coworkers over for a drink after a long week, but NAME2 disagrees saying that this is their family time."
Friends,O,68,NAME1 and NAME2 are married. They're disagreeing because NAME1 wants to regularly invite their poker friends over for gaming nights which NAME2 feels can disturb their peaceful home environment.
Friends,O,69,"NAME2 and NAME1 are married. NAME2 thinks NAME1 is spending too much time with their friends, leading to a disagreement about priorities and time management."
General Household,E,70,"NAME1 and NAME2 are married. NAME1 thinks the family should adopt a pet for companionship. however, NAME2 prefers not to have one."
General Household,E,71,"NAME1 and NAME2 are married. NAME1 is calling for a technological upgrade at their home, with smart home installations but NAME2 wants to keep things simple and considers smart homes as unnecessary spending."
General Household,E,72,NAME1 and NAME2 are married. NAME1 insists on hiring a gardener to manage their yard. NAME2 disagrees and proposes that they should take turns doing the gardening.
General Household,E,73,"NAME1 and NAME2 are married. NAME1 insists that they subscribe to a number of magazines and newspapers, while NAME2 feels they should reduce waste and read electronic versions instead."
General Household,E,74,"NAME1 and NAME2 are married. NAME1 suggests remodeling the kitchen, while NAME2 objects, emphasizing the importance of saving money for future emergencies instead."
General Household,O,75,"NAME2 and NAME1 are married. NAME2 wishes to plant rows of flowers in the backyard, but NAME1 would rather keep the lawn for the kids to play."
General Household,O,76,"NAME2 and NAME1 are married. NAME2 thinks they should hire a professional landscaper to maintain their yard because gardening equipment is heavy, but NAME1 would rather do it themselves."
General Household,O,77,"NAME1 and NAME2 are married. NAME1 wishes to have a minimalist approach to home decor for simplicity, while NAME2 cherishes the idea of decorating their home with art."
General Household,O,78,"NAME2 and NAME1 are married. NAME2 feels their home should be painted lilac, but NAME1 sees no reason to change the colors they've always had."
General Household,O,79,"NAME1 and NAME2 are married. NAME1 wants to host all the holiday family gatherings at their home. NAME2, however, prefers a more quiet setting and proposes that they take turns hosting with other family members."
